	8500LOEL	8930MK	8660BW	8380NKBJ
Bramgås	2023-12-30			
Sangsvane	2023-02-22		2023-01-08	2023-02-08
Jernspurv	2023-03-20	2023-03-19		2023-01-01
Sjagger	2023-01-01	2023-01-08	2023-01-11	2023-01-01
Silkehale	2023-11-06			
Rødhals	2023-01-01	2023-01-17	2023-01-01	2023-01-01
Vindrossel	2023-01-01	2023-10-05		2023-01-07
Skarv	2023-01-22	2023-01-22	2023-01-01	2023-01-21
Stor Flagspætte	2023-08-31		2023-01-08	2023-01-27
Gulspurv	2023-08-30		2023-01-19	2023-05-20
Havørn	2023-08-27			2023-04-04
Grå Fluesnapper	2023-08-21	2023-08-06		
Gærdesmutte	2023-02-15	2023-01-15	2023-01-02	2023-01-01
Dompap	2023-01-04	2023-01-22	2023-01-02	2023-01-27
Stær	2023-07-30			2023-02-02
Klippedue (tamdue)	2023-07-29	2023-01-08		2023-10-16
Spurvehøg	2023-06-03	2023-01-08	2023-01-14	2023-01-01
Landsvale	2023-05-13	2023-05-11		2023-04-29
Bysvale	2023-05-11	2023-05-07		2023-05-07
Hættemåge	2023-01-21	2023-01-01		2023-03-10
Munk	2023-05-04	2023-01-21		2023-05-27
Fiskehejre	2023-02-28	2023-01-08		2023-01-01
Blåmejse	2023-01-01	2023-01-01	2023-01-02	2023-01-01
Bogfinke	2023-01-04	2023-01-01	2023-01-01	2023-01-01
Hvepsevåge	2023-05-11			2023-06-09
Tårnfalk	2023-05-05	2023-07-21	2023-01-01	2023-01-01
Stormmåge	2023-01-01	2023-01-08	2023-01-01	2023-01-01
Gransanger	2023-03-27	2023-03-26		2023-03-26
Råge	2023-01-01	2023-01-01	2023-01-01	2023-01-01
Grågås	2023-01-14	2023-05-19	2023-01-16	2023-01-01
Musvåge	2023-02-12	2023-04-30	2023-01-05	2023-01-01
Mursejler	2023-05-13	2023-05-08		2023-05-20
Ravn	2023-05-04			2023-02-15
Rød Glente	2023-01-04	2023-05-18		2023-01-01
Strandskade	2023-03-14	2023-07-27		
Sølvmåge	2023-01-04	2023-01-01	2023-01-08	2023-01-01
Ringdue	2023-01-02	2023-01-01	2023-01-01	2023-01-01
Tyrkerdue	2023-01-23	2023-01-08	2023-01-02	2023-01-01
Gøg	2023-05-13			2023-05-11
Solsort	2023-01-01	2023-01-01	2023-01-01	2023-01-01
Gærdesanger	2023-05-02	2023-04-23		2023-04-26
Musvit	2023-01-01	2023-01-01	2023-01-01	2023-01-01
Husskade	2023-01-01	2023-01-08	2023-01-01	2023-01-01
Allike	2023-01-01	2023-01-01	2023-01-01	2023-01-01
Gråkrage	2023-01-22	2023-01-08	2023-01-01	2023-01-01
Gråspurv	2023-01-01	2023-01-01	2023-01-02	2023-01-01
Skovspurv	2023-01-01	2023-01-01	2023-01-02	2023-01-01
Grønirisk	2023-01-04	2023-01-08	2023-01-08	2023-01-01
Tornsanger	2023-05-13			2023-05-14
Sildemåge	2023-04-30			
Stillits	2023-04-23	2023-05-09	2023-01-03	2023-01-01
Tornirisk	2023-04-17			2023-04-15
Hvid Vipstjert	2023-04-12	2023-07-19		2023-03-23
Canadagås	2023-03-27	2023-06-12		2023-06-07
Husrødstjert	2023-03-27			
Rørspurv	2023-03-20			2023-03-26
Trane	2023-03-17			
Knopsvane	2023-02-10			2023-04-05
Skovskade	2023-02-05	2023-02-19	2023-01-08	
Grønsisken	2023-01-27	2023-09-24		2023-04-15
Kvækerfinke		2023-01-21	2023-01-03	2023-01-01
Engpiber		2023-10-07		
Kernebider		2023-10-08		
Fuglekonge		2023-10-01		
Spætmejse		2023-07-30	2023-01-08	2023-04-04
Småspove		2023-07-29		
Rødstjert		2023-04-28		2023-05-11
Løvsanger		2023-05-06		2023-05-07
Sangdrossel		2023-04-19		2023-03-26
Fasan		2023-03-30		2023-01-12
Lille Gråsisken		2023-02-15		
Stor Skallesluger			2023-01-11	
Sumpmejse			2023-01-02	2023-01-02
Gås sp.			2023-01-03	
Dobbeltbekkasin				2023-12-06
Rødstrubet Lom				2023-12-03
Sortkrage				2023-10-16
Natugle				2023-09-07
Hjejle				2023-09-04
Rørhøg				2023-04-04
Agerhøne				2023-04-04
Havesanger				2023-05-09
Gråand				2023-04-03
Svaleklire				2023-07-01
Huldue				2023-07-01
Sanglærke				2023-02-26
Gulbug				2023-06-04
Vibe				2023-05-05
Halemejse				2023-03-25
Bomlærke				2023-03-16
Blå Kærhøg				2023-03-05
